1,兴致勃勃：对事物感到兴奋,I,N
1,敢作敢为：勇于冒险,D,D
1,交往得体：彬彬有礼，尊重他人,C,C
1,满足：心满意足,S,S
2,谨慎：小心,C,C
2,有决定力：持之以恒,D,D
2,有信服力：能说服他人赞同或相信,I,I
2,性情温和：善良、顺服,S,N
3,友善：乐于与人共处,I,I
3,精密准确：按照要求处理事情,C,C
3,坦率：说话毫不掩饰自己,D,D
3,冷静：不易受外界干扰,S,S
4,多话：滔滔不绝,I,I
4,自制力强：善于掩饰自己的情感,C,C
4,循规蹈矩：惯于按常规方法行事,S,S
4,果断：速断速决,D,D
5,具有冒险精神：勇于尝试新事物,D,D
5,具有洞察力：能看清事实,C,N
5,善交际：乐于与人交往,I,I
5,适中：不偏激,S,S
6,温和：仁慈待人,S,S
6,有说服力：能说服他人,I,N
6,谦虚：不骄傲,C,C
6,善于创新：用新的方法处理事情,N,D
7,善于表达：懂得表现情感,I,I
7,认真：谨慎专注,C,C
7,支配欲强：喜欢处于控制地位,D,D
7,反应力强：对别人的言行能做出积极反应,S,S
8,泰然自若：做事充满信心,N,I
8,敏锐的观察力：细心、善于观察,C,N
8,朴实：从不自吹自擂,S,S
8,性急：坐立不安，喜欢有所变化,D,D
9,圆滑：遣词 、谨慎,C,C
9,随和：愿意赞同别人的意见,S,S
9,有魅力：能吸引别人,I,I
9,坚持观点：坚信自己的观点,D,D
10,勇敢：有勇气、无畏,N,D
10,善于鼓舞人：激励别人去做某事,I,I
10,乐于服从：顺从、温和,S,N
10,胆怯：害羞，缺乏信心,C,C
11,拘谨：沉默寡言，自制,C,C
11,恳切：乐于助人,S,S
11,意志坚定：不轻易让步,D,D
11,活泼：快乐，积极,I,I
12,激发性：令人振奋,I,I
12,仁慈：愿意施予或分享,S,S
12,有洞察力：能够理解所发生的事情,C,C
12,独立性：不依赖别人,N,D
13,好胜：渴望获胜,D,D
13,体谅：关心他人,S,S
13,欢乐愉快：充满活力，无忧无虑,I,I
13,隐秘的：不冒然暴露想法,C,C
14,挑剔：要求事物丝毫不差,N,C
14,顺从：愿意听从指示,S,S
14,坚定：不改变主张、心意,D,D
14,调皮：喜欢耍乐,I,I
15,有吸引力：令人喜爱,I,I
15,自我省察：深思熟虑,C,C
15,固执：拒绝妥协,D,D
15,可预测的：始终如一,S,S
16,有逻辑性：仔细地考虑问题,C,C
16,大胆：敢于冒险,D,D
16,忠心：忠于朋友,S,S
16,迷人：讨人喜欢，有吸引力,I,I
17,平易近人：对人亲切,I,I
17,有耐心：心平气和,S,N
17,自信：相信自己,D,D
17,语气温和：说话轻声细语,C,C
18,心甘乐意 ：乐于助人,S,S
18,热切渴望：有强烈的欲望要做某些事,D,N
18,彻底：做事有始有终,C,C
18,情绪高昂：兴致勃勃，精力充沛,I,I
19,积极进取：行动强而有力,D,D
19,外向：爱交际、兴致勃勃,I,I
19,和蔼可亲：随和、真诚,S,S
19,瞻前顾后：顾虑重重、犹豫不决,N,C
20,充满信心：有自信,I,I
20,有同情心：为他人的忧而忧,S,S
20,公正：平等地对待所有人,C,C
20,肯定的：确信而强有力,D,D
21,纪律严明：按计划行事,C,C
21,慷慨大方：愿意与人分享、毫不自私,S,S
21,生气勃勃：活泼、主动、溢于言表,I,I
21,执著：不轻易放弃,D,D
22,感情用事：行动不经过太多思考,I,I
22,内向：为人隐秘、孤僻,C,C
22,坚强的：有魅力，有威信,D,D
22,悠游自在：不轻易感到心烦意乱,S,S
23,善于交际：喜爱与众人交往,I,I
23,优雅：具有良好的举止风度,C,C
23,精力充沛：行动强而有力,D,D
23,宽宏大量：慈悲为怀、宽容谅解,S,S
24,俘获人心：使人神魂颠倒,I,I
24,安于现状：容易满足,S,S
24,苛求：利用强权达到目的,D,D
24,循规蹈矩：按规则行事,C,C
25,爱辩论：喜欢争辩,D,D
25,有条理：做事思路清晰,C,C
25,愿意合作：能与他人融洽合作,S,N
25,心情开朗：无忧无虑、心情愉快,I,I
26,快乐逍遥：充满快乐、俏皮,I,I
26,精益求精：喜欢任何事情都准确无误,C,C
26,直截了当：大胆、坦率,D,D
26,脾气温和：不轻易发怒,S,S
27,坐立不安：寻求改变,D,D
27,友善：友好、乐于助人,S,S
27,有感染力：有吸引力、讨人欢心,I,I
27,小心谨慎：专注以避免犯错,C,C
28,尊重他人：为他人着想,N,C
28,领导先锋：喜爱新事物,D,D
28,乐观：总是往好的一面看,I,N
28,乐于助人：喜爱帮助他人,S,S